"age","year","offence","no"
"18",2016,"Robbery, extortion and related offences",35
"18",2016,"Unlawful entry with intent",64
"18",2016,"Theft and related offences",14
"18",2016,"Fraud, deception and related offences",0
"18",2016,"Illicit drug offences",4
"18",2016,"Prohibited and regulated weapons and explosives offences",4
"18",2016,"Property damage and environmental pollution",4
"18",2016,"Public order offences",0
"18",2016,"Traffic and vehicle regulatory offences",0
"18",2016,"Offences against justice procedures",24
"18",2016,"Miscellaneous offences",0
"18",2017,"Homicide and related offences",5
"18",2017,"Acts intended to cause injury",89
"18",2017,"Sexual assault and related offences",13
"18",2017,"Dangerous or negligent acts endangering persons",23
"18",2017,"Abduction, harassment and other offences against the person",4
"18",2017,"Robbery, extortion and related offences",48
"18",2017,"Unlawful entry with intent",75
"18",2017,"Theft and related offences",16
"18",2017,"Fraud, deception and related offences",4
"18",2017,"Illicit drug offences",9
"18",2017,"Prohibited and regulated weapons and explosives offences",3
"18",2017,"Property damage and environmental pollution",5
"18",2017,"Public order offences",3
"18",2017,"Traffic and vehicle regulatory offences",0
"18",2017,"Offences against justice procedures",7
"18",2017,"Miscellaneous offences",0
"18",2018,"Homicide and related offences",5
"18",2018,"Acts intended to cause injury",81
"18",2018,"Sexual assault and related offences",21
"18",2018,"Dangerous or negligent acts endangering persons",17
"18",2018,"Abduction, harassment and other offences against the person",3
"18",2018,"Robbery, extortion and related offences",59
"18",2018,"Unlawful entry with intent",68
"18",2018,"Theft and related offences",11
"18",2018,"Fraud, deception and related offences",3
"18",2018,"Illicit drug offences",9
"18",2018,"Prohibited and regulated weapons and explosives offences",0
"18",2018,"Property damage and environmental pollution",4
"18",2018,"Public order offences",3
"18",2018,"Traffic and vehicle regulatory offences",0
"18",2018,"Offences against justice procedures",13
"18",2018,"Miscellaneous offences",0
"18",2019,"Homicide and related offences",12
"18",2019,"Acts intended to cause injury",57
"18",2019,"Sexual assault and related offences",20
"18",2019,"Dangerous or negligent acts endangering persons",9
"18",2019,"Abduction, harassment and other offences against the person",0
"18",2019,"Robbery, extortion and related offences",45
"18",2019,"Unlawful entry with intent",49
"18",2019,"Theft and related offences",7
"18",2019,"Fraud, deception and related offences",4
"18",2019,"Illicit drug offences",9
"18",2019,"Prohibited and regulated weapons and explosives offences",7
"18",2019,"Property damage and environmental pollution",3
"18",2019,"Public order offences",0
"18",2019,"Traffic and vehicle regulatory offences",0
"18",2019,"Offences against justice procedures",5
"18",2019,"Miscellaneous offences",0
"18",2020,"Homicide and related offences",7
"18",2020,"Acts intended to cause injury",66
"18",2020,"Sexual assault and related offences",11
"18",2020,"Dangerous or negligent acts endangering persons",5
"18",2020,"Abduction, harassment and other offences against the person",3
"18",2020,"Robbery, extortion and related offences",46
"18",2020,"Unlawful entry with intent",39
"18",2020,"Theft and related offences",3
"18",2020,"Fraud, deception and related offences",0
"18",2020,"Illicit drug offences",5
"18",2020,"Prohibited and regulated weapons and explosives offences",0
"18",2020,"Property damage and environmental pollution",8
"18",2020,"Public order offences",0
"18",2020,"Traffic and vehicle regulatory offences",0
"18",2020,"Offences against justice procedures",10
"18",2020,"Miscellaneous offences",0
"19",2011,"Homicide and related offences",17
"19",2011,"Acts intended to cause injury",158
"19",2011,"Sexual assault and related offences",17
"19",2011,"Robbery, extortion and related offences",139
"19",2011,"Unlawful entry with intent",101
"19",2011,"Illicit drug offences",19
"19",2011,"Theft and related offences",18
"19",2011,"Miscellaneous offences",117
"19",2012,"Homicide and related offences",24
"19",2012,"Acts intended to cause injury",169
"19",2012,"Sexual assault and related offences",23
"19",2012,"Robbery, extortion and related offences",140
"19",2012,"Unlawful entry with intent",98
"19",2012,"Theft and related offences",21
"19",2012,"Illicit drug offences",17
"19",2012,"Offences against justice procedures",46
"19",2012,"Miscellaneous offences",45
"19",2013,"Homicide and related offences",18
"19",2013,"Acts intended to cause injury",135
"19",2013,"Sexual assault and related offences",15
"19",2013,"Dangerous or negligent acts endangering persons",24
"19",2013,"Abduction, harassment and other offences against the person",5
"19",2013,"Robbery, extortion and related offences",129
"19",2013,"Unlawful entry with intent",111
"19",2013,"Theft and related offences",22
"19",2013,"Fraud, deception and related offences",4
"19",2013,"Illicit drug offences",15
"19",2013,"Prohibited and regulated weapons and explosives offences",7
"19",2013,"Property damage and environmental pollution",13
"19",2013,"Public order offences",3
"19",2013,"Traffic and vehicle regulatory offences",5
"19",2013,"Offences against justice procedures",32
"19",2013,"Miscellaneous offences",0
"19",2014,"Homicide and related offences",15
"19",2014,"Acts intended to cause injury",160
"19",2014,"Sexual assault and related offences",18
"19",2014,"Dangerous or negligent acts endangering persons",31
"19",2014,"Abduction, harassment and other offences against the person",8
"19",2014,"Robbery, extortion and related offences",130
"19",2014,"Unlawful entry with intent",128
"19",2014,"Theft and related offences",33
"19",2014,"Fraud, deception and related offences",6
"19",2014,"Illicit drug offences",9
"19",2014,"Prohibited and regulated weapons and explosives offences",4
"19",2014,"Property damage and environmental pollution",9
"19",2014,"Public order offences",0
"19",2014,"Traffic and vehicle regulatory offences",4
"19",2014,"Offences against justice procedures",44
"19",2014,"Miscellaneous offences",0
"19",2015,"Homicide and related offences",12
"19",2015,"Acts intended to cause injury",163
